10um bubble,,duplicate,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
320.5047913,0.9503310919,320.5047913,0.9416317344,
319.995697,0.9502795935,319.995697,0.9412903786,
319.4865723,0.944011867,319.4865723,0.9352427721,
319.0166321,0.9352536798,319.0166321,0.9262614846,
318.5074158,0.927770257,318.5074158,0.9186193943,
317.99823,0.9211952686,317.99823,0.9131504893,
317.4889832,0.9207245708,317.4889832,0.9117910862,
317.0188904,0.9211316109,317.0188904,0.9130482674,
316.5095825,0.921844244,316.5095825,0.9128673077,
316.0002441,0.9232241511,316.0002441,0.9146088958,
315.4908447,0.924377203,315.4908447,0.9157334566,
314.9814758,0.9181285501,314.9814758,0.9103165865,
314.5112305,0.9042993784,314.5112305,0.89528054,
314.00177,0.8864408135,314.00177,0.8781293631,
313.4922791,0.8676187992,313.4922791,0.8594805598,
312.9827271,0.8445119858,312.9827271,0.8389333487,
312.5123901,0.833990097,312.5123901,0.8265472054,
312.0027771,0.82155931,312.0027771,0.8147562146,
311.4931641,0.8099970222,311.4931641,0.8032368422,
310.9835205,0.8038132787,310.9835205,0.7970855236,
310.5130615,0.7965849638,310.5130615,0.7914188504,
310.0033264,0.7885077596,310.0033264,0.7832270265,
309.4935913,0.7797384858,309.4935913,0.7730976939,
308.9838257,0.7673261762,308.9838257,0.7601647973,
308.5132446,0.7529948354,308.5132446,0.7474789023,
308.0033875,0.7281082273,308.0033875,0.722946465,
307.4935303,0.7110177875,307.4935303,0.7067179084,
306.9836121,0.6960309148,306.9836121,0.6910551786,
306.5129089,0.6814531088,306.5129089,0.6759570837,
306.0029602,0.6713311672,306.0029602,0.6661834121,
305.4929504,0.6604162455,305.4929504,0.6554213166,
304.9829407,0.6536762118,304.9829407,0.6473284364,
304.5121155,0.6444259286,304.5121155,0.6405223608,
304.0020447,0.6322928667,304.0020447,0.6275200248,
303.4919434,0.6222846508,303.4919434,0.6186964512,
302.9818115,0.6109210849,302.9818115,0.6063073874,
302.5108643,0.6031801105,302.5108643,0.598500073,
302.0006714,0.5909491777,302.0006714,0.586803019,
301.4904175,0.5802887678,301.4904175,0.5766304135,
301.0194092,0.574618876,301.0194092,0.5704881549,
300.5091248,0.567406714,300.5091248,0.5639888048,
299.9988098,0.5623717904,299.9988098,0.5596826077,
299.4884644,0.556376636,299.4884644,0.5538740754,
299.0173645,0.5492616296,299.0173645,0.5476793051,
298.5069275,0.5460647345,298.5069275,0.5433202982,
297.9964905,0.5419120789,297.9964905,0.5399464965,
297.4859924,0.5386180282,297.4859924,0.536729157,
297.0147705,0.5348858237,297.0147705,0.5319772363,
296.5042419,0.5283862948,296.5042419,0.52617383,
295.9936829,0.5259926915,295.9936829,0.5247285366,
295.4830933,0.526684463,295.4830933,0.5242114067,
295.0117493,0.525056839,295.0117493,0.5235306621,
294.5011292,0.5240316987,294.5011292,0.5219256282,
293.9904175,0.5211279988,293.9904175,0.5192642212,
293.5189819,0.5207238793,293.5189819,0.5183303952,
293.0082397,0.5191909671,293.0082397,0.5178204179,
292.4974976,0.5186910629,292.4974976,0.5170744658,
291.9866943,0.5177397132,291.9866943,0.516942203,
291.5151978,0.5191143155,291.5151978,0.5182544589,
291.0043335,0.5198509693,291.0043335,0.5184129477,
290.4934387,0.518687129,290.4934387,0.5187487006,
289.9825134,0.5194858313,289.9825134,0.5185892582,
289.5108948,0.521948576,289.5108948,0.5202023387,
288.9999084,0.522223115,288.9999084,0.5217962265,
288.4889221,0.524086535,288.4889221,0.5226374269,
288.0172119,0.5278397799,288.0172119,0.5264817476,
287.5061646,0.5300869942,287.5061646,0.5294883847,
286.9950867,0.5316916108,286.9950867,0.5309224725,
286.4839478,0.5347211361,286.4839478,0.534291029,
286.0121155,0.5362980366,286.0121155,0.5358505845,
285.500946,0.5404231548,285.500946,0.5395472646,
284.9897461,0.5441101789,284.9897461,0.5427128673,
284.5178528,0.5456673503,284.5178528,0.5455152392,
284.0065918,0.5495587587,284.0065918,0.5486851931,
283.4953308,0.5532417297,283.4953308,0.5524699688,
282.9840088,0.5593663454,282.9840088,0.5585510135,
282.5119934,0.5620373487,282.5119934,0.5612431765,
282.0006104,0.5656456947,282.0006104,0.5640027523,
281.4891968,0.5701932907,281.4891968,0.5692964196,
281.0171509,0.5734203458,281.0171509,0.5717667341,
280.5057068,0.5771955252,280.5057068,0.5765201449,
279.9942017,0.5820276737,279.9942017,0.5809246302,
279.4826965,0.5859729052,279.4826965,0.5851601362,
279.010498,0.5908186436,279.010498,0.5903321505,
278.4989624,0.596072793,278.4989624,0.5954805017,
277.9873657,0.6029103994,277.9873657,0.6021252871,
277.5151062,0.6069228649,277.5151062,0.6063812375,
277.003479,0.6119337082,277.003479,0.6106932163,
276.4917603,0.6185266376,276.4917603,0.6177322268,
276.0194397,0.6222288609,276.0194397,0.620839417,
